comparison,model,note,roc_auc_first,roc_auc_within_year,roc_auc_difference,roc_auc_difference_low,roc_auc_difference_high,pr_auc_first,pr_auc_within_year,pr_auc_difference,pr_auc_difference_low,pr_auc_difference_high
random_size_matched minus within_year,tuned_lightgbm,same training size (the planned check),0.72205233279157,0.7281976135649989,-0.006145280773428907,-0.11962152185476008,0.10268576641499978,0.5240086067638743,0.5210899659514107,0.0029186408124636243,-0.1717554830367379,0.18502175964222903
random minus within_year,tuned_lightgbm,full training part (context; sizes differ),0.75086078737974,0.7281976135649989,0.022663173814741144,-0.08763146208583224,0.13668789063144424,0.5556020649599568,0.5210899659514107,0.03451209900854613,-0.14562140614075947,0.21870893435761238
