experiment,model,seeds,roc_auc_mean,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_min,pr_auc_max,sensitivity_mean,sensitivity_min,sensitivity_max,specificity_mean,specificity_min,specificity_max
random,tuned_lightgbm,5,0.7514924165979833,0.7449989601226285,0.7575314081480169,0.5643213984302774,0.5556020649599568,0.5745406700430455,0.8568527918781725,0.8274111675126904,0.8984771573604061,0.4024279210925645,0.3611532625189681,0.4582701062215478
random,tuned_random_forest,5,0.75151090330681,0.7439975967278525,0.7586560162683037,0.5389099936170225,0.5340575353334335,0.5460272249643323,0.8568527918781725,0.8274111675126904,0.8883248730964467,0.4333839150227618,0.37936267071320184,0.48254931714719274
random_size_matched,tuned_lightgbm,5,0.715167574312718,0.699737334678755,0.7268434714958059,0.5176308545694442,0.5055635411238614,0.5342357443946163,0.9350253807106599,0.9238578680203046,0.949238578680203,0.2904400606980273,0.25948406676783003,0.3277693474962064
within_year,tuned_lightgbm,5,0.733573372409462,0.7270253297048356,0.7508896797153025,0.5299301360621027,0.5210899659514107,0.5441889366787149,0.7976470588235294,0.7294117647058823,0.8705882352941177,0.4640569395017794,0.40569395017793597,0.5160142348754448
