experiment,model,seeds,roc_auc_mean,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_min,pr_auc_max,sensitivity_mean,sensitivity_min,sensitivity_max,specificity_mean,specificity_min,specificity_max
random,random_forest,5,0.7273788157722437,0.7247829737411706,0.729031065373624,0.5048567394069603,0.5018266976833438,0.5068233014961411,0.8385786802030457,0.7969543147208121,0.8629441624365483,0.39939301972685887,0.37329286798179057,0.424886191198786
random_size_matched,random_forest,5,0.6796746339246511,0.6732974896589972,0.6903938439259607,0.45092131093155496,0.43781194109567845,0.4613714469518815,0.8081218274111676,0.7766497461928934,0.8578680203045685,0.37481031866464337,0.283763277693475,0.4400606980273141
within_year,random_forest,5,0.6695792338287628,0.658195520200963,0.6842997697299561,0.4050883029760584,0.38721147438386266,0.412214219250945,0.8870588235294117,0.8352941176470589,0.9176470588235294,0.29039145907473307,0.21708185053380782,0.36298932384341637
