model,roc_auc_random_size_matched,roc_auc_within_year,roc_auc_difference,roc_auc_difference_low,roc_auc_difference_high,pr_auc_random_size_matched,pr_auc_within_year,pr_auc_difference,pr_auc_difference_low,pr_auc_difference_high
prevalence,0.5,0.5,0.0,0.0,0.0,0.23014018691588786,0.23224043715846995,-0.0021002502425820913,-0.1066299221530227,0.10028230766979221
logistic_regression,0.6652596227170839,0.6443583839229642,0.02090123879411976,-0.09927993759368132,0.12890719201727682,0.3886972306342848,0.38569312837615477,0.003004102258130026,-0.1661191838233945,0.15441358172243844
random_forest,0.6732974896589972,0.6606447561230898,0.012652733535907346,-0.09971026097892258,0.12967784890423678,0.43781194109567845,0.40602277558094296,0.031789165514735485,-0.14410354212764853,0.21292406977960485
lightgbm,0.7178389037381665,0.7523550345405066,-0.03451613080234006,-0.1375914332137142,0.05907114216364395,0.5147694557041134,0.581696244528961,-0.0669267888248476,-0.2339893538630482,0.11708195273827908
