role,arm,model,edge,edge_source,n,n_resistant,n_zone_susceptible,coverage,coverage_low,coverage_high,npv,npv_low,npv_high
B1,baseline_saved,v0.4_tuned_lightgbm,0.10255963637363619,carried over from Version 0.6,267,71,62,0.23220973782771537,0.18352059925093633,0.2809925093632954,0.935483870967742,0.8688524590163934,0.9852941176470589
B2,baseline_v07_external,v0.7_external_refit,0.10255963637363619,carried over from Version 0.6,267,71,56,0.20973782771535582,0.16104868913857678,0.25852059925093585,0.9285714285714286,0.8518518518518519,0.9836065573770492
A1,recalibrated,recalibrated_v0.4_tuned_lightgbm,0.0877970210579224,refitted on the C adaptation part,267,71,54,0.20224719101123595,0.15730337078651685,0.250936329588015,0.9259259259259259,0.8499764150943396,0.9827659263588544
A2,refit_a_plus_c,refit_a_plus_c_tuned_lightgbm,0.14261540693905073,refitted on the C adaptation part,267,71,125,0.4681647940074906,0.40823970037453183,0.5280898876404494,0.904,0.8527068242470454,0.952
