experiment,split,model,seed,train_size,threshold,n,n_resistant,prevalence,roc_auc,pr_auc,brier,accuracy,balanced_accuracy,sensitivity,recall,specificity,precision,f1,tp,fp,tn,fn,calibration_slope,calibration_intercept,role,arm,setting,brier_checked
c_holdout__B0_prevalence,c_holdout,prevalence,42,622,0.19292604501607716,267,71,0.26591760299625467,0.5,0.26591760299625467,0.20053319894935462,0.26591760299625467,0.5,1.0,1.0,0.0,0.26591760299625467,0.42011834319526625,71,196,0,0,,0.4156735947204815,B0,prevalence,always predicts 0.1929 (the adaptation part's resistance rate),0.20053319894935462
c_holdout__B1_baseline_saved,c_holdout,v0.4_tuned_lightgbm,42,2977,0.14261540693905073,267,71,0.26591760299625467,0.7650186835297499,0.6577389335376884,0.14581310366389247,0.5205992509363296,0.637539522851394,0.8873239436619719,0.8873239436619719,0.3877551020408163,0.3442622950819672,0.49606299212598426,63,120,76,8,0.8799873066815185,-0.1566880337280973,B1,baseline_saved,"saved model, unchanged; carried-over Version 0.6 zone edge",0.14581310366389247
c_holdout__B2_baseline_v07_external,c_holdout,v0.7_external_refit,42,3831,0.14261540693905073,267,71,0.26591760299625467,0.7824805978729519,0.6805609347747862,0.13982012540304015,0.5355805243445693,0.6567260707099741,0.9154929577464789,0.9154929577464789,0.3979591836734694,0.3551912568306011,0.5118110236220472,65,118,78,6,0.939554128870379,-0.12915572357588226,B2,baseline_v07_external,Version 0.7 external refit (DRIAMS-A only); carried-over zone edge,0.13982012540304015
c_holdout__A1_recalibrated,c_holdout,recalibrated_v0.4_tuned_lightgbm,42,622,0.14261540693905073,267,71,0.26591760299625467,0.7650186835297499,0.6577389335376884,0.1493213005086028,0.7453183520599251,0.6693374532911756,0.5070422535211268,0.5070422535211268,0.8316326530612245,0.5217391304347826,0.5142857142857142,36,33,163,35,0.8651884328462699,0.48711704318553944,A1,recalibrated,"recalibration-only: Platt (a, b) and the zone edge refitted on the C adaptation part; the LightGBM model is frozen",0.1493213005086028
c_holdout__A2_refit_a_plus_c,c_holdout,refit_a_plus_c_tuned_lightgbm,42,4453,0.14261540693905073,267,71,0.26591760299625467,0.8200632365622305,0.7275136604232187,0.1271198382312609,0.6441947565543071,0.7037582638689279,0.8309859154929577,0.8309859154929577,0.576530612244898,0.4154929577464789,0.5539906103286385,59,83,113,12,1.0532902827994066,0.2124089077675643,A2,refit_a_plus_c,Version 0.4 winning setting refitted on DRIAMS-A + C adaptation; own calibrator and zone edge; no search on C,0.1271198382312609
