experiment,model,seeds,roc_auc_mean,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_min,pr_auc_max,sensitivity_mean,sensitivity_min,sensitivity_max,specificity_mean,specificity_min,specificity_max
random,tuned_cnn,5,0.4885559569567796,0.46900010013633947,0.5101638384569761,0.24677535331135977,0.22025346870178963,0.2792022073148257,0.9116751269035532,0.883248730964467,0.9441624365482234,0.06464339908952958,0.025796661608497723,0.10166919575113809
random,tuned_mlp,5,0.7035255694291458,0.6864269043235791,0.7122774854994878,0.45157513316722325,0.433827798081176,0.46891123321445294,0.9055837563451776,0.8730964467005076,0.949238578680203,0.3028831562974203,0.25796661608497723,0.33839150227617604
