setting,channels,dropout,features,kernel_size,positive_class_weight,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd,fit_seconds_mean,rank
0,"16,32",0.3,bins_3da,9,True,0.505932510747365,0.0505000062626769,0.23821084361937223,0.025319326112666858,52.62264685630798,6
1,"16,32",0.3,bins_3da,25,True,0.5261987525773257,0.053632671628982,0.24899907739037858,0.0267604765514023,294.04721608161924,5
2,"16,32",0.3,bins_18da,9,True,0.5269820253140731,0.059636628022215143,0.24239660408388736,0.02994076209889512,28.273621368408204,4
3,"16,32",0.3,bins_18da,15,True,0.5516650636849212,0.06695757671946226,0.28447277062589105,0.049995268974271825,38.17904119491577,1
4,"32,64",0.3,bins_18da,9,True,0.5442867159699929,0.06854086467636827,0.261963765047574,0.03937275922324213,47.34517869949341,2
5,"32,64",0.3,bins_18da,15,True,0.5357343476999419,0.056723069668598906,0.2594888172535345,0.03229712176760651,43.145184421539305,3
