baseline_roc_auc,bin_start,bin_end,auroc_drop_mean,auroc_drop_sd,auroc_drop_min,auroc_drop_max,mz_start,mz_end
0.7764860715069094,3260,3260,0.02530630150722273,0.011551739029006549,0.008272490834456248,0.03888697396045493,11780.0,11783.0
0.7764860715069094,1298,1298,0.014545796383918775,0.004291514496664306,0.009839250462194138,0.019365148998840565,5894.0,5897.0
0.7764860715069094,2149,2149,0.014019365148998842,0.004274848447016456,0.008429166797229937,0.019427819383950107,8447.0,8450.0
0.7764860715069094,1622,1622,0.006975213862689111,0.004063233343217893,0.003540876758687528,0.013787484724093635,6866.0,6869.0
0.7764860715069094,1519,1519,0.0044558643812865565,0.00048209374505524396,0.004104910224673297,0.005264312349199218,6557.0,6560.0
0.7764860715069094,1517,1517,0.003371666718892019,0.0011669151660515726,0.002256133863942522,0.005295647541754267,6551.0,6554.0
0.7764860715069094,3259,3259,0.0032651270642058083,0.0008438422488120588,0.0019741171309497485,0.0040735750321184705,11777.0,11780.0
0.7764860715069094,1604,1604,0.0030708488703663273,0.005927116072948095,-0.003540876758687639,0.008899194685551337,6812.0,6815.0
0.7764860715069094,1634,1634,0.0029956444082348765,0.0023446598398348464,0.000250681540438058,0.0051703067715350715,6902.0,6905.0
0.7764860715069094,1623,1623,0.0027386958292858533,0.0005750669506197476,0.0019427819383949219,0.0033215304108044075,6869.0,6872.0
0.7764860715069094,2824,2824,0.0027261617522640114,0.0032829503043770147,-0.0008773853915332586,0.006580390436499273,10472.0,10475.0
0.7764860715069094,1632,1632,0.0026572243286435036,0.0017074661147806823,0.0009400557766428008,0.005452323504528067,6896.0,6899.0
0.7764860715069094,1884,1884,0.0023188042490520423,0.001786243405389117,0.00018801115532840473,0.004512267727885155,7652.0,7655.0
0.7764860715069094,2170,2170,0.0022310657098987942,0.0006711146786830741,0.001598094820292717,0.0033215304108042965,8510.0,8513.0
0.7764860715069094,1314,1314,0.002111991978190675,0.0015326401129467132,-0.0005326982734309427,0.0031335192554758917,5942.0,5945.0
0.7764860715069094,720,720,0.0017923730141321981,0.0015718277318609248,-0.00040735750321185815,0.0036662175289068344,4160.0,4163.0
0.7764860715069094,1631,1631,0.0017297026290226559,0.002604160000772116,-0.000250681540438058,0.005232977156644614,6893.0,6896.0
