side,cut,n_covered,coverage,achieved
susceptible,0.011502980760737531,0,0.0,
susceptible,0.02065220783771323,1,0.002347417840375587,1.0
susceptible,0.022575640123288023,2,0.004694835680751174,1.0
susceptible,0.023908439360904796,3,0.007042253521126761,1.0
susceptible,0.024293014916055813,4,0.009389671361502348,1.0
susceptible,0.024778310067670846,5,0.011737089201877934,1.0
susceptible,0.025825768384216585,6,0.014084507042253521,1.0
susceptible,0.028264463789028197,7,0.01643192488262911,1.0
susceptible,0.029335789056193686,8,0.018779342723004695,1.0
susceptible,0.029851406751251898,9,0.02112676056338028,1.0
susceptible,0.030024790365803022,10,0.023474178403755867,1.0
susceptible,0.030275770822735724,11,0.025821596244131457,1.0
susceptible,0.03160299409342028,12,0.028169014084507043,0.9166666666666666
susceptible,0.032549159247864404,13,0.03051643192488263,0.9230769230769231
susceptible,0.03256822772169379,14,0.03286384976525822,0.9285714285714286
susceptible,0.03304497702641214,15,0.035211267605633804,0.9333333333333333
susceptible,0.03330406428755173,16,0.03755868544600939,0.9375
susceptible,0.033875965399452326,17,0.03990610328638498,0.9411764705882353
susceptible,0.03443956618692866,18,0.04225352112676056,0.9444444444444444
susceptible,0.03454697696952203,19,0.04460093896713615,0.9473684210526315
susceptible,0.036133683458921484,20,0.046948356807511735,0.95
susceptible,0.03628744929181091,21,0.04929577464788732,0.9523809523809523
susceptible,0.036336636000070276,22,0.051643192488262914,0.9545454545454546
susceptible,0.037956132688160234,23,0.0539906103286385,0.9565217391304348
susceptible,0.03819666703660548,24,0.056338028169014086,0.9583333333333334
susceptible,0.03971581358138083,25,0.05868544600938967,0.96
susceptible,0.0414034426267561,26,0.06103286384976526,0.9615384615384616
susceptible,0.04151551209812038,27,0.06338028169014084,0.9629629629629629
susceptible,0.0421467306185424,28,0.06572769953051644,0.9642857142857143
susceptible,0.04346616467425661,29,0.06807511737089202,0.9655172413793104
susceptible,0.04469889861144197,30,0.07042253521126761,0.9666666666666667
susceptible,0.04489391837215428,31,0.07276995305164319,0.967741935483871
susceptible,0.044925751257827565,32,0.07511737089201878,0.96875
susceptible,0.04511804248265266,33,0.07746478873239436,0.9696969696969697
susceptible,0.04520429309642428,34,0.07981220657276995,0.9705882352941176
susceptible,0.04678451067245594,35,0.08215962441314555,0.9714285714285714
susceptible,0.047093774536044665,36,0.08450704225352113,0.9722222222222222
susceptible,0.048187004432943645,37,0.08685446009389672,0.972972972972973
susceptible,0.048423984807356914,38,0.0892018779342723,0.9736842105263158
