part,n,n_resistant,n_zone_susceptible,share_susceptible,resistant_share_susceptible,n_zone_uncertain,share_uncertain,resistant_share_uncertain,n_zone_resistant,share_resistant,resistant_share_resistant,npv_susceptible,precision_resistant,confident_share,accuracy_confident,reproduces_logged_auroc,logged_auroc
validation,426,97,110,0.25821596244131456,0.045454545454545456,316,0.7417840375586855,0.2911392405063291,0,0.0,,0.9545454545454546,,0.25821596244131456,0.9545454545454546,,
test (from stored predictions),856,197,213,0.2488317757009346,0.051643192488262914,643,0.7511682242990654,0.2892690513219285,0,0.0,,0.9483568075117371,,0.2488317757009346,0.9483568075117371,0.75086078737974,0.75086078737974
