comparison,source_low,source_high,other_low,other_high,kind,source_roc_auc,other_roc_auc,gap,low,high,n,n_resistant,demonstrated
random minus temporal__DRIAMS-A,0.6960961094290343,0.806503365168345,0.6748153029429329,0.7783793562416375,unpaired (different rows),0.75086078737974,0.7284178870894739,0.022442900290266188,-0.054463629436496304,0.09440170523256518,1233,271,False
random minus external__DRIAMS-B,0.6960961094290343,0.806503365168345,0.7365079633385921,0.8798163856090743,unpaired (different rows),0.75086078737974,0.8146599163548316,-0.06379912897509155,-0.152049360977778,0.029905192687021277,213,59,False
random minus external__DRIAMS-D,0.6960961094290343,0.806503365168345,0.6978213318441794,0.7574444134709364,unpaired (different rows),0.75086078737974,0.7283525234418092,0.022508263937930817,-0.04308816604739273,0.0851985249850884,1938,370,False
random minus external_ab__DRIAMS-D,0.6960961094290343,0.806503365168345,0.6810852062642209,0.7419859979940974,unpaired (different rows),0.75086078737974,0.7124931053502482,0.03836768202949181,-0.02837987046238735,0.10330850704059681,1938,370,False
