part,n,median_abs_smd,share_bins_abs_smd_over_half,max_abs_smd,median_abs_smd_lowest_bins,lowest_bins,empty_share_lowest_bins_reference,empty_share_lowest_bins_part
temporal__DRIAMS-A,1233,0.24939308389356116,0.26216666666666666,0.8024192486294792,0.17635392372848024,20,0.00188108834397044,0.0050283860502838605
external__DRIAMS-B,213,0.14657428403426803,0.10566666666666667,2.3449038230584707,0.2526080894669349,20,0.00188108834397044,0.0007042253521126761
external__DRIAMS-D,1938,0.18979579906766147,0.1155,1.6096533526349757,0.16629540042440571,20,0.00188108834397044,0.016434468524251806
external_ab__DRIAMS-D,1938,0.18979579906766147,0.1155,1.6096533526349757,0.16629540042440571,20,0.00188108834397044,0.016434468524251806
