part,model,pure_site_test,n,n_resistant,edge,n_zone_susceptible,share_susceptible,npv_susceptible,npv_low,npv_high,target_npv,transfers
temporal__DRIAMS-A,refit (temporal),False,1233,271,0.10255963637363619,253,0.20519059205190593,0.8932806324110671,0.8435333169412343,0.9370201771653542,0.95,False
external__DRIAMS-B,refit (external),False,213,59,0.10255963637363619,61,0.2863849765258216,0.9180327868852459,0.8420843776106934,0.9827586206896551,0.95,True
external__DRIAMS-D,refit (external),False,1938,370,0.10255963637363619,313,0.16150670794633643,0.9648562300319489,0.9434584146405781,0.9840776968961682,0.95,True
external_ab__DRIAMS-D,refit (external_ab),False,1938,370,0.10255963637363619,297,0.15325077399380804,0.9427609427609428,0.9153080660299232,0.9676401503288444,0.95,True
external__DRIAMS-B,saved v0.4 model,True,213,59,0.10255963637363619,51,0.23943661971830985,0.9215686274509804,0.8363636363636364,0.9821428571428571,0.95,True
external__DRIAMS-D,saved v0.4 model,True,1938,370,0.10255963637363619,298,0.15376676986584106,0.9630872483221476,0.9387702862715053,0.9828767123287672,0.95,True
